date,coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,year,month,day_of_week,day_of_year,week_of_year,quarter
2022-03-16,Bitcoin,BTC,40859.46,0.9086357947434294,0.552739165985282,0.1186604723190088,0.6108704964347693,0.9934460122575236,2022,3,2,75,11,1
2022-03-16,LEO Token,LEO,5.97,0.8898623279098873,0.5363859362224038,0.1186604723190088,1.4355285128307275e-05,0.0070644489874,2022,3,2,75,11,1
2022-03-16,Celer Network,CELR,0.037068909834,0.9173967459324156,0.5511038430089941,0.1074332171893147,0.0006190114463051,0.0001838795278588,2022,3,2,75,11,1
2022-03-16,Ethereum,ETH,2744.41,0.9111389236545684,0.5560098119378577,0.1205962059620596,0.3408769457657339,0.4214352373551158,2022,3,2,75,11,1
2022-03-16,Tether,USDT,1.0,0.8798498122653317,0.5273916598528209,0.1080139372822299,1.0,0.102961577292696,2022,3,2,75,11,1
2022-03-16,BNB,BNB,383.43,0.9036295369211514,0.5511038430089941,0.1087882307394502,0.0240934621393307,0.0824446970445735,2022,3,2,75,11,1
2022-03-16,USD Coin,USDC,0.999874,0.8798498122653317,0.5282093213409648,0.1080139372822299,0.0668382787233985,0.0672108030444311,2022,3,2,75,11,1
2022-03-16,XRP,XRP,0.785018,0.904881101376721,0.543744889615699,0.1252419667053813,0.067751907777548,0.0482789335318631,2022,3,2,75,11,1
2022-03-16,Terra,LUNA,89.51,0.9111389236545684,0.5241210139002452,0.1169183120402632,0.0459395820762871,0.0423707456073738,2022,3,2,75,11,1
2022-03-16,Solana,SOL,85.61,0.9111389236545684,0.5396565821749794,0.1159504452187378,0.0306579487535298,0.0353991084674468,2022,3,2,75,11,1
2022-03-16,Cardano,ADA,0.824161,0.9011264080100124,0.5412919051512673,0.1134339914827719,0.0164100946655623,0.0338475810573065,2022,3,2,75,11,1
2022-03-16,Polkadot,DOT,18.55,0.9198998748435544,0.5568274734260016,0.1264034068912117,0.0131561120018374,0.0259139082590641,2022,3,2,75,11,1
